全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
202053,BB2020530001,長野県飯田市,阿弥陀如来坐像,アミダニョライザゾウ,,,重要文化財,彫刻,光明寺,202053,39000,長野県飯田市久米311,長野県,飯田市,久米,311,,35.47715,137.779854,,,,,,,,3950241,1,体,,,1949-02-18,,,,,,,像の高さ1.38mで、上品下生の印を結び趺座する。洗練された藤原期の作風で、平安時代末期の作と推定される。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530002,長野県飯田市,木造誉田別尊坐像,モクゾウホンダワケノミコトザゾウ,,,重要文化財,彫刻,鳩ヶ嶺八幡宮,202053,131000,長野県飯田市八幡町1999,長野県,飯田市,八幡町,1999,,35.496547,137.837064,,,,,,,,3950814,1,体,,,1958-02-08,,,,,,,高さ0.99mの冠束帯の坐像で、俗体の例は少なく造形も優れ、体内墨書により正応元年（1288）の作とされる。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530003,長野県飯田市,絹本著色八相涅槃図,ケンポンチャクショクハッソウネハンズ,,,重要文化財,絵画,開善寺,202053,28000,長野県飯田市上川路1000,長野県,飯田市,上川路,1000,,35.462313,137.814791,,,,,,,,3992564,1,幅,,開善寺,1993-06-10,,,,,,,鎌倉時代中期の作品とされ、涅槃図を中心に釈迦の生涯の7つのエピソードが色鮮やかに描かれている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530004,長野県飯田市,画文帯四仏四獣鏡,ガモンタイシブツシジュウキョウ,,,重要文化財,工芸,開善寺,202053,28000,長野県飯田市上川路1000,長野県,飯田市,上川路,1000,,35.462313,137.814791,,,,,,,,3992564,1,面,,開善寺,1953-03-31,,,,,,,直径23.7cmの白銅製で、中国六朝時代の製作、もしくは?製鏡とする説がある。御猿堂古墳出土と伝承される。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530005,長野県飯田市,石室・五輪塔,セキシツ・ゴリントウ,,,重要文化財,建造物,文永寺,202053,52000,長野県飯田市下久堅南原1142,長野県,飯田市,下久堅南原,1142,,35.471714,137.844915,,,,,,,,3992607,2,基,,文永寺,1930-05-23,,,,,,,弘安6年（1283）癸末12月29日の刻名があり、知久敦幸62歳の時に南都の石工に造らせたことが記されている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530006,長野県飯田市,白山社奥社本殿,ハクサンシャオクシャホンデン,,,重要文化財,建造物,,202053,,長野県飯田市,長野県,飯田市,,,,35.548962,137.78752,,,,,,,,,1,棟,,白山社,1934-01-30,,,,,,,三間社流造、こけら葺、弁柄塗り。和様と禅宗様と大仏様の折衷様である。室町時代の永正6年（1509）の墨書がある。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530007,長野県飯田市,旧小笠原家書院,キュウオガサワラケショイン,,,重要文化財,建造物,,202053,6000,長野県飯田市伊豆木3942-1,長野県,飯田市,伊豆木,3942-1,,35.446118,137.794875,,,,,,,,3992434,1,棟,2000020202053 ,飯田市,1952-03-29,,,,,,,懸造、一重入母屋造、こけら葺きで、桃山時代の建築様式が残る。寛永元年（1624）の建築で、地方豪族の居館で江戸期に遡る書院は全国でも例がない。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530008,長野県飯田市,開善寺山門,カイゼンジサンモン,,,重要文化財,建造物,開善寺,202053,28000,長野県飯田市上川路1000,長野県,飯田市,上川路,1000,,35.461541,137.814671,,,,,,,,3992564,1,棟,,開善寺,1952-03-29,,,,,,,三間一戸楼門（2階を欠く）、切妻造、銅板葺、瑠璃閣ともいわれる単層唐様建築で、室町時代前期の建築といわれる。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530009,長野県飯田市,飯田市追手町小学校校舎,イイダシオウテマチショウガッコウコウシャ,,,登録有形文化財,,追手町小学校,202053,11002,長野県飯田市追手町二丁目673-1,長野県,飯田市,追手町２丁目,673-1,,35.513047,137.829188,,,,,,,,3950034,1,棟,2000020202053 ,飯田市,2005-12-26,,,,,,,昭和4年（1929）に建てられた鉄筋コンクリート造3階建の校舎で、意匠的に優れている。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
202053,BB2020530010,長野県飯田市,飯田市追手町小学校講堂,イイダシオウテマチショウガッコウコウドウ,,,登録有形文化財,,追手町小学校,202053,11002,長野県飯田市追手町二丁目673-1,長野県,飯田市,追手町２丁目,673-1,,35.51236,137.828827,,,,,,,,3950034,1,棟,2000020202053 ,飯田市,2005-12-26,,,,,,,昭和6年（1931）建築の鉄骨造平屋建の建物で、鉄骨造を感じさせない木造の内部構成が見どころである。,,,,https://www.city.iida.lg.jp/site/bunkazai/shiteijoukyou.html,
